TimeSinceFirstFrame(s), AngleAtTime(deg), dTime(1/2of30fps)(s), dAngle(0.01deg)
100.75	-0.148	0.03	0.0009
101.42	0.1477	0.03	0.0009
102.12	-0.1462	0.03	0.0009
102.78	0.1469	0.03	0.0009
103.45	-0.1456	0.03	0.0009
104.12	0.1442	0.03	0.0009
104.82	-0.1431	0.03	0.0009
105.49	0.1426	0.03	0.0009
106.15	-0.1424	0.03	0.0009
106.82	0.1404	0.03	0.0009
107.49	-0.1391	0.03	0.0009
108.19	0.139	0.03	0.0009
108.85	-0.138	0.03	0.0009
109.52	0.1376	0.03	0.0009
110.22	-0.1366	0.03	0.0009
110.85	0.1361	0.03	0.0009
111.56	-0.1347	0.03	0.0009
112.22	0.1345	0.03	0.0009
112.89	-0.1325	0.03	0.0009
113.56	0.1322	0.03	0.0009
114.26	-0.1312	0.03	0.0009
114.92	0.1304	0.03	0.0009
115.59	-0.1297	0.03	0.0009
116.26	0.1291	0.03	0.0009
116.92	-0.1284	0.03	0.0009
117.62	0.1283	0.03	0.0009
118.29	-0.1259	0.03	0.0009
118.96	0.1262	0.03	0.0009
119.63	-0.1257	0.03	0.0009
120.29	0.1239	0.03	0.0009
120.99	-0.123	0.03	0.0009
121.66	0.1233	0.03	0.0009
122.33	-0.1213	0.03	0.0009
122.99	0.1216	0.03	0.0009
123.66	-0.12	0.03	0.0009
124.36	0.1203	0.03	0.0009
125.03	-0.1195	0.03	0.0009
125.7	0.1192	0.03	0.0009
126.36	-0.1173	0.03	0.0009
127.06	0.1165	0.03	0.0009
127.73	-0.1136	0.03	0.0009
128.4	0.1159	0.03	0.0009
129.06	-0.114	0.03	0.0009
129.73	0.1143	0.03	0.0009
130.4	-0.1132	0.03	0.0009
131.1	0.1127	0.03	0.0009
131.77	-0.1112	0.03	0.0009
132.43	0.112	0.03	0.0009
133.1	-0.1101	0.03	0.0009
133.8	0.1096	0.03	0.0009
134.47	-0.1095	0.03	0.0009
135.13	0.1095	0.03	0.0009
135.8	-0.1074	0.03	0.0009
136.47	0.1071	0.03	0.0009
137.17	-0.1067	0.03	0.0009
137.83	0.1064	0.03	0.0009
138.5	-0.1055	0.03	0.0009
139.17	0.1055	0.03	0.0009
139.84	-0.1032	0.03	0.0009
140.5	0.1036	0.03	0.0009
141.2	-0.1029	0.03	0.0009
141.87	0.1026	0.03	0.0009
142.54	-0.1012	0.03	0.0009
143.2	0.1011	0.03	0.0009
143.87	-0.0994	0.03	0.0009
144.54	0.0988	0.03	0.0009
145.24	-0.0984	0.03	0.0009
145.91	0.0973	0.03	0.0009
146.57	-0.0974	0.03	0.0009
147.24	0.0973	0.03	0.0009
147.94	-0.0967	0.03	0.0009
148.61	0.0958	0.03	0.0009
149.27	-0.0947	0.03	0.0009
149.94	0.0952	0.03	0.0009
150.61	-0.0938	0.03	0.0009
151.31	0.0936	0.03	0.0009
151.98	-0.093	0.03	0.0009
152.64	0.0925	0.03	0.0009
153.31	-0.0921	0.03	0.0009
153.98	0.0909	0.03	0.0009
154.68	-0.0906	0.03	0.0009
155.34	0.0897	0.03	0.0009
156.01	-0.0896	0.03	0.0009
156.68	0.0893	0.03	0.0009
157.34	-0.0892	0.03	0.0009
158.01	0.0885	0.03	0.0009
158.71	-0.0876	0.03	0.0009
159.35	0.087	0.03	0.0009
160.05	-0.0865	0.03	0.0009
160.71	0.0855	0.03	0.0009
161.38	-0.0854	0.03	0.0009
162.05	0.0849	0.03	0.0009
162.75	-0.0849	0.03	0.0009
163.41	0.0839	0.03	0.0009
164.08	-0.0833	0.03	0.0009
164.75	0.0833	0.03	0.0009
165.41	-0.0824	0.03	0.0009
166.12	0.0828	0.03	0.0009
166.78	-0.0818	0.03	0.0009
167.45	0.0821	0.03	0.0009
168.12	-0.0815	0.03	0.0009
168.78	0.0813	0.03	0.0009
169.45	-0.0807	0.03	0.0009
170.15	0.0803	0.03	0.0009
170.82	-0.0795	0.03	0.0009
171.48	0.0793	0.03	0.0009
172.15	-0.0787	0.03	0.0009
172.82	0.078	0.03	0.0009
173.49	-0.0774	0.03	0.0009
174.19	0.0772	0.03	0.0009
174.85	-0.077	0.03	0.0009
175.52	0.0764	0.03	0.0009
176.19	-0.0763	0.03	0.0009
176.85	0.0758	0.03	0.0009
177.55	-0.0754	0.03	0.0009
178.22	0.0747	0.03	0.0009
178.89	-0.0747	0.03	0.0009
179.56	0.0742	0.03	0.0009
180.22	-0.074	0.03	0.0009
180.89	0.0739	0.03	0.0009
181.56	-0.0731	0.03	0.0009
182.26	0.0727	0.03	0.0009
182.92	-0.0722	0.03	0.0009
183.59	0.0725	0.03	0.0009
184.26	-0.0719	0.03	0.0009
184.92	0.0709	0.03	0.0009
185.59	-0.0706	0.03	0.0009
186.29	0.0704	0.03	0.0009
186.96	-0.0702	0.03	0.0009
187.63	0.0697	0.03	0.0009
188.29	-0.069	0.03	0.0009
188.96	0.0689	0.03	0.0009
189.63	-0.0686	0.03	0.0009
190.29	0.0686	0.03	0.0009
